contacto,categoria,subcategoria,concepto,tipo_prestacion,fecha_ingreso,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto
00906270/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,VILLA LUGANO,BALBASTRO,5250,Web,masculino,Abierto
00906271/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAN NICOLÁS,URUGUAY AV.,753,Web,masculino,Abierto
00906272/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,VILLA DEVOTO,TINOGASTA,5135,App,masculino,Cerrado
00906273/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,CABALLITO,BOGOTA,350,App,masculino,Cerrado
00906274/18,CALLES Y VEREDAS,REPARACIÓN DE VEREDA,REPARACIÓN DE VEREDA,SOLICITUD,2018-07-31,VILLA CRESPO,BATALLA DEL PARI,627,Web,masculino,Abierto
00906275/18,TRÁMITES Y SERVICIOS,TRÁMITES ANTE GCBA,SOLICITUD DE PAGO VOLUNTARIO DE INFRACCIONES,SERVICIO,2018-07-31,LINIERS,"GORDILLO, TIMOTEO",990,Web,femenino,Cerrado
00906276/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,SAAVEDRA,HOLMBERG,3708,Web,femenino,Abierto
00906277/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-07-31,BALVANERA,"URIBURU JOSE E., PRES.",208,Web,masculino,Cerrado
00906279/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-07-31,PARQUE CHAS,ARISMENDI,2490,App,masculino,Cerrado
00525379/18,ARBOLADO Y ESPACIOS VERDES,PODA DE ÁRBOL Y DESPEJE DE LUMINARIA,PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO,SOLICITUD,2018-04-05,VILLA ORTÚZAR,LUGONES,1426,147,femenino,Abierto
00525380/18,PLUVIALES,ALCANTARILLAS / SUMIDEROS,DESTAPE DE SUMIDERO/ALCANTARILLA O BOCA DE REGISTRO PLUVIAL,SOLICITUD,2018-04-05,MONTE CASTRO,"SASTRE, MARCOS",5198,147,masculino,Cerrado
00525381/18,LIMPIEZA Y RECOLECCIÓN,LIMPIEZA DE VÍA PÚBLICA,"DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA",SOLICITUD,2018-04-05,VILLA SOLDATI,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,147,femenino,Cerrado
00525382/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,DESOBSTRUCCIÓN (VACTOR),SERVICIO,2018-04-05,BARRACAS,"HORNOS, GRAL.",1700,Web,femenino,Cerrado
00525383/18,ARBOLADO Y ESPACIOS VERDES,PROBLEMA CON INTERVENCIONES DE ARBOLADO,FALTA DE RECOLECCIÓN DE RESTOS DE PODA DE ARBOLADO PÚBLICO,SOLICITUD,2018-04-05,SAAVEDRA,"LARRALDE, CRISOLOGO AV.",3093,147,femenino,Cerrado
00525384/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-04-05,BELGRANO,O'HIGGINS,2506,Web,masculino,Cerrado
00525385/18,TRÁNSITO,DENUNCIA VIAL,VEHÍCULO MAL ESTACIONADO,DENUNCIA,2018-04-05,ALMAGRO,GUARDIA VIEJA,,App,masculino,Cerrado
00525386/18,LIMPIEZA Y RECOLECCIÓN,RESIDUOS VOLUMINOSOS,RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS),SERVICIO,2018-04-05,CABALLITO,MENDEZ DE ANDES,1525,147,masculino,Cerrado
00525387/18,TRÁMITES Y SERVICIOS,SERVICIOS DEL GCBA,SOLICITUD DE PARTIDAS,SERVICIO,2018-04-05,PARQUE AVELLANEDA,"CASCO, HORACIO, DR.",4251,Web,femenino,Cerrado
