periodo,fecha,desde,hasta,linea,molinete,estacion,pagos,pases_pagos,franq,total
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_CONGRESO_N_TURN03,CONGRESO,33,0,0,33
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_CONGRESO_S_TURN01,CONGRESO,30,0,1,31
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_LIMA_N_TURN02,LIMA,28,0,0,28
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_LIMA_S_TURN01,LIMA,55,0,0,55
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_MISERERE_Q_HALL_TURN01,PLAZA MISERERE,6,0,0,6
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_MISERERE_Q_NE_TURN03,PLAZA MISERERE,19,0,1,20
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_PASCO_TURN02,PASCO,16,0,0,16
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_PERU_N_TURN01,PERU,71,0,1,72
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_PERU_S_TURN04,PERU,41,0,1,42
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_PIEDRAS_S_TURN01,PIEDRAS,53,0,0,53
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_PJUNTA_S_TURN05,PRIMERA JUNTA,20,0,0,20
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_SANPEDRITO_OESTE_TURN04,SAN PEDRITO,10,0,0,10
201803,12/03/2018,18:45:00,19:00:00,LINEA_A,LINEA_A_SNZPEÃÂA_S_TURN01,SAENZ PEÃÂA,26,0,0,26
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_ALEM_N_TURN03,LEANDRO N. ALEM,106,0,3,109
201803,12/03/2018,18:45:00,19:00:00,LINEA_B,LINEA_B_CALLAOB_N_TURN01,CALLAO.B,31,0,1,32
