id,titulo,categoria,tamanio,titulo2,autoridad,descripcion,frecuencia,destacado,source,detalle,que_es,cuando
43,sedes comunales,administracion,220,sedes comunales,Educación e Innovación,Descripción del nombre- dirección de las sedes comunales de la Ciudad de Buenos Aires.,Anual,,,,,
69,bibliotecas,cultura,220,bibliotecas,Cultura,Listado con ubicación geográfica de las bibliotecas de la Red del Gobierno de la Ciudad Autónoma de Buenos Aires.,Anual,,,,,
80,estadios,cultura,220,estadios,Educación e Innovación,Listado de los Estadios de la Ciudad Autónoma de Buenos Aires. Nombre- Ubicación e Información de Contacto.,Eventual,,,,,
106,boleto estudiantil,educacion,220,boleto estudiantil,Jefatura de Gabinete de Ministros,Listado de oficinas para gestionar el boleto estudiantil en la Ciudad de Buenos Aires,Anual,,,,,
107,distritos escolares,educacion,220,distritos escolares,Educación e Innovación,Límites y ubicación geográfica de los distritos escolares de la Ciudad que surgieron a partir de la Ley de Educación Común (Ley N° 1.420/1884),Eventual,,,,,
111,juegotecas barriales,educacion,220,juegotecas barriales,Hábitat y Desarrollo Humano,Ubicación de los espacios dedicados a actividades lúdicas creativas con el objetivo de contribuir al desarrollo integral de los niños.,anual,,,,,
137,centros de desarrollo infantil,salud,220,centros de desarrollo infantil,Hábitat y Desarrollo Humano,Ubicación de los establecimientos preventivos de proyección social que atienden a niñas y niños desde los 45 días a los tres años.,anual,,,,,
138,centros de dia,salud,220,centros de dia,Hábitat y Desarrollo Humano,Ubicación- teléfono y horario de atención de los Centros de Día- espacios destinados a adultos mayores autoválidos de 60 años o más en los cuales se ofrecen talleres y actividades para favorecer la autonomía y el envejecimiento activo.,anual,,,,,
154,cuarteles y destacamentos de bomberos,seguridad,220,cuarteles y destacamentos de bomberos,Educación e Innovación,Listado con referencia geográfica y datos de contacto de los Cuarteles de Bomberos de la Policía Federal Argentina en la Ciudad.,Anual,,,,,
162,arroyos,urbanismo,220,arroyos,Educación e Innovación,Ubicación y nombre de los arroyos subterráneos de la Ciudad.,Eventual,,,,,
178,polideportivos,urbanismo,220,polideportivos,Vicejefatura de Gobierno,Listado de polideportivos dependientes de la Subsecretaría de Deportes.,Anual,,,,,
213,colectivos,movilidad,200,colectivos,Educación e Innovación,"Horarios e información geográfica asociada al transporte público de la Ciudad Autónoma de Buenos Aires- de acuerdo a la especificación general de feeds de transporte público (""GTFS""- por sus siglas en inglés)",Eventual,,,,,
161,personas buscadas,seguridad,127,personas buscadas,Jefatura de Gabinete de Ministros,Información de las personas buscadas en la ciudad de Buenos Aires,Mensual,,,,,
214,fabricantes- reparadores- instaladores y mantenedores de instalaciones fijas contra incendios,actividad_economica,97,fabricantes- reparadores- instaladores y mantenedores de instalaciones fijas contra incendios,AGC,Listado de fabricantes- reparadores- instaladores y mantenedores de Instalaciones Fijas Contra Incendios.,Trimestral,,,,,
6,distritos economicos,actividad_economica,70,distritos economicos,Educación e Innovación,Localización y límites geográficos de los distritos en los que se concentran actividades de la Ciudad de Buenos Aires.,Eventual,,,,,
25,comunas,administracion,70,comunas,Educación e Innovación,Información geográfica de la locación (perímetro y área) de las comunas de la Ciudad- establecidas a partir de la Ley Orgánica de Comunas (Ley Nº 1777/2005).,Eventual,,,,,
68,basilicas,cultura,70,basilicas,Educación e Innovación,Listado de Basílicas ubicadas en la Ciudad de Buenos Aires.,Eventual,,,,,
81,estudio urbano,cultura,70,estudio urbano,Cultura,Información sobre los cursos de capacitación sobre oficios vinculados por la música y las herramientas para la gestión de proyectos artísticos.,Semestral,,,,,
135,areas hospitalarias,salud,70,areas hospitalarias,Educación e Innovación,Alcance geográfico de las áreas programáticas de salud- las cuales recaen sobre los Hospitales Generales de Agudos del Ministerio de Salud.,Eventual,,,,,
141,centros integrales de la mujer,salud,70,centros integrales de la mujer,Hábitat y Desarrollo Humano,Ubicación de los Centros de la Mujer donde se brinda asistencia- orientación y acompañamiento a mujeres en situación de violencia doméstica y/o sexual.,anual,,,,,
166,centros de clasificacion de residuos,urbanismo,70,centros de clasificacion de residuos,Educación e Innovación,Ubicación geográfica de los Centros Verdes (infraestructuras que permiten tareas de selección- enfardado y acopio de materiales reciclables para posterior venta a la industria) que reciben material reciclable.,Anual,,,,,
185,unidades territoriales de inclusion urbana,urbanismo,70,unidades territoriales de inclusion urbana,Educación e Innovación,Delimitación geográfica de las Unidades Territoriales de Inclusión Urbana.,Anual,,,,,
187,zonas de recoleccion de residuos,urbanismo,70,zonas de recoleccion de residuos,Educación e Innovación,Zonas de recolección de residuos adjudicadas a cada empresa.,Anual,,,,,
215,lengua de señas,salud,10,lengua de señas,Hábitat y Desarrollo Humano,Registro de intérpretes de lengua de señas de la Ciudad de Buenos Aires.,Eventual,,,,,
211,casas de niñas- niños y adolescentes,salud,4,casas de niñas- niños y adolescentes,Hábitat y Desarrollo Humano,Ubicación de las Casas de Niñas- Niños y Adolescentes (espacios que buscan favorecer el ejercicio y promoción de los derechos de los chicos- estimulando su acceso y permanencia en las políticas públicas básicas)y sus horarios de atención.,Anual,,,,,
160,estacionamientos de motos,seguridad,,estacionamientos de motos,Educación e Innovación,Espacios exclusivos de estacionamiento de motos en microcentro peatonal específicamente,Anual,,,,,
